,l,score,gnb,scaler
10,11,0.9855072463768116,GaussianNB(),StandardScaler()
1,2,0.9855072463768116,GaussianNB(),StandardScaler()
18,19,0.9855072463768116,GaussianNB(),StandardScaler()
17,18,0.9855072463768116,GaussianNB(),StandardScaler()
16,17,0.9855072463768116,GaussianNB(),StandardScaler()
15,16,0.9855072463768116,GaussianNB(),StandardScaler()
14,15,0.9855072463768116,GaussianNB(),StandardScaler()
13,14,0.9855072463768116,GaussianNB(),StandardScaler()
12,13,0.9855072463768116,GaussianNB(),StandardScaler()
11,12,0.9855072463768116,GaussianNB(),StandardScaler()
19,20,0.9855072463768116,GaussianNB(),StandardScaler()
8,9,0.9855072463768116,GaussianNB(),StandardScaler()
6,7,0.9855072463768116,GaussianNB(),StandardScaler()
9,10,0.9710144927536232,GaussianNB(),StandardScaler()
5,6,0.9710144927536232,GaussianNB(),StandardScaler()
4,5,0.9710144927536232,GaussianNB(),StandardScaler()
3,4,0.9710144927536232,GaussianNB(),StandardScaler()
2,3,0.9710144927536232,GaussianNB(),StandardScaler()
7,8,0.9565217391304348,GaussianNB(),StandardScaler()
0,1,0.9420289855072463,GaussianNB(),StandardScaler()
