,l,p,score,features
14,15,37,0.9689010989010991,"['max5', '3rdQuartile5', 'max11', '3rdQuartile11', 'median11', 'median15', 'max17', '3rdQuartile17', 'median17', 'max23', '3rdQuartile23', 'median23', '3rdQuartile29', 'median29', 'max30', '3rdQuartile39', 'max43', '3rdQuartile47', 'max49', '3rdQuartile49', 'median49', 'median53', 'max55', '3rdQuartile55', 'max61', '3rdQuartile61', 'median63', 'max64', '3rdQuartile67', '3rdQuartile75', 'max78', 'max81', '3rdQuartile81', 'max82', '3rdQuartile83', 'median83', 'max84']"
6,7,10,0.9668323739752313,"['max5', '3rdQuartile5', 'max11', '3rdQuartile11', 'median15', 'max18', 'max19', '3rdQuartile25', 'median25', 'max36']"
3,4,5,0.9656135531135531,"['max5', '3rdQuartile5', 'max12', '3rdQuartile13', 'median13']"
16,17,44,0.9650542268189328,"['max5', '3rdQuartile5', 'max11', '3rdQuartile11', 'median11', 'median15', 'max17', '3rdQuartile17', 'median17', 'max23', '3rdQuartile23', 'max29', '3rdQuartile29', 'median29', 'max30', 'max32', 'median35', 'max36', '3rdQuartile53', 'median53', 'max55', '3rdQuartile55', 'median55', 'median59', 'max61', '3rdQuartile61', 'max67', '3rdQuartile67', '3rdQuartile69', 'median69', 'max70', 'max73', '3rdQuartile73', 'max87', '3rdQuartile87', 'median87', 'median89', 'max90', 'max93', '3rdQuartile93', 'max94', '3rdQuartile95', 'median95', 'max96']"
7,8,21,0.9641865079365081,"['max5', '3rdQuartile5', 'median5', 'max7', 'median9', 'max11', '3rdQuartile11', 'median11', '3rdQuartile17', 'median17', 'max18', 'max25', '3rdQuartile25', 'median25', 'median29', 'max31', '3rdQuartile31', 'median31', 'max42', 'median47', 'max48']"
5,6,2,0.9636141636141636,"['max5', 'max36']"
15,16,115,0.9626793345543345,"['max5', '3rdQuartile5', 'median5', 'median9', 'max11', '3rdQuartile11', 'median11', 'median13', '3rdQuartile15', 'median15', 'max17', '3rdQuartile17', 'median17', 'max19', 'median19', 'max20', 'median21', 'max23', '3rdQuartile23', 'median23', 'max25', 'median25', 'max26', 'max28', 'max29', '3rdQuartile29', 'median29', 'max30', '3rdQuartile30', '3rdQuartile31', 'median31', 'max32', '3rdQuartile33', 'median33', 'max35', '3rdQuartile35', 'median35', 'max36', 'max37', '3rdQuartile37', 'median37', 'max39', '3rdQuartile39', 'median39', 'max41', '3rdQuartile41', 'median41', 'max42', 'max43', 'max46', '3rdQuartile47', 'median47', 'max48', 'max49', '3rdQuartile49', 'max50', 'max53', '3rdQuartile53', 'median53', 'max54', 'max55', '3rdQuartile55', 'median55', 'max56', 'max59', '3rdQuartile59', 'median59', 'max61', '3rdQuartile61', 'median61', 'max62', 'max63', '3rdQuartile63', 'median63', 'max64', 'max66', 'max67', '3rdQuartile67', 'median67', 'max68', '3rdQuartile69', 'median69', 'max70', 'max72', 'max73', '3rdQuartile73', 'median73', 'max78', 'max79', 'median79', 'max80', 'max81', '3rdQuartile81', 'median81', 'max83', '3rdQuartile83', 'median83', 'max84', 'max85', 'max87', '3rdQuartile87', 'median87', 'max88', 'max89', '3rdQuartile89', 'median89', 'max90', '3rdQuartile90', 'max91', '3rdQuartile91', 'median91', 'max92', 'max95', '3rdQuartile95', 'median95']"
4,5,18,0.9622710622710623,"['median3', 'max5', '3rdQuartile5', 'median5', 'max8', 'max11', '3rdQuartile11', 'median11', 'max12', '3rdQuartile13', 'median17', 'max19', '3rdQuartile19', 'median19', '3rdQuartile27', '3rdQuartile29', 'median29', 'max30']"
11,12,31,0.9590913715913715,"['max5', '3rdQuartile5', 'median5', 'max11', '3rdQuartile11', 'median11', 'max13', 'max17', '3rdQuartile17', 'max23', '3rdQuartile23', 'median23', 'max24', 'max37', '3rdQuartile37', '3rdQuartile41', 'median41', 'max43', '3rdQuartile43', 'median43', 'max49', '3rdQuartile49', 'median51', 'max52', 'max63', '3rdQuartile63', 'median63', '3rdQuartile65', 'median65', 'max66', 'median71']"
8,9,41,0.9583367250033917,"['max5', '3rdQuartile5', 'median5', 'median9', 'max11', '3rdQuartile11', 'median11', 'max14', 'median15', 'max17', '3rdQuartile17', 'median17', 'max18', '3rdQuartile21', 'median21', 'median23', 'max25', 'max26', 'max29', '3rdQuartile29', 'median29', 'max30', 'max31', '3rdQuartile31', 'median31', 'max37', '3rdQuartile37', 'median37', 'median39', 'max42', 'max45', '3rdQuartile45', 'median45', 'median47', 'max48', 'max49', 'max52', 'max53', '3rdQuartile53', 'median53', 'max54']"
